id,来源,名称,分类,红绿灯地址,大图片地址,小图片地址,热量,碳水化合物,脂肪,蛋白质,纤维素,维生素A,维生素C,维生素E,胡萝卜素,硫胺素,核黄素,烟酸,胆固醇,镁,钙,铁,锌,铜,锰,钾,磷,钠,硒,度量单位
huotuicaihua,薄荷,火腿菜花,家常菜 ,http://s2.boohee.cn/food/star/huotuicaihua-6f27c12e64158f300f9cc04918de5384.png,http://s2.boohee.cn/house/upload_food/2016/10/11/big_photo_url_066d0468cd354fd1b1088b8a09cd68a9.jpg,http://s2.boohee.cn/house/upload_food/2016/10/11/mid_photo_url_7e05c317b6274b5b8091a054706807a5.jpg,56,6.50,2.29,3.62,1.30,,,,,,,,,,,,,,,,,,,
roumomuer,薄荷,肉末木耳,家常菜 ,http://s2.boohee.cn/food/star/roumomuer-32586f974a626e400d005967abc3b1a5.png,http://s2.boohee.cn/house/upload_food/2016/10/24/big_photo_url_e75554263c1b40d384e012efcb4166ae.jpg,http://s2.boohee.cn/house/upload_food/2016/10/24/mid_photo_url_3a972869ff374c2fb519c9e466625c3e.jpg,116,10.05,7.26,3.49,1.98,,,,,,,,,,,,,,,,,,,"1盘肉末木耳(350.0克)405大卡,标准(100克)116大卡"
qingchaoyoumaicai,薄荷,清炒油麦菜,家常菜 ,http://s2.boohee.cn/food/star/qingchaoyoumaicai-9f6baea51d6c04ba784d6430852a7320.png,http://s2.boohee.cn/house/upload_food/2020/6/11/big_photo_url_41e837c7a4c8e314dfca247ed3654e79.jpg,http://s2.boohee.cn/house/upload_food/2020/6/11/mid_photo_url_94f39620478d88a4094b25e0e1e57ffc.jpg,44,1.90,3.42,1.42,0.65,,,,,,,,,,,,,,,,,,,"1盘清炒油麦菜(300.0克)131大卡,1碗清炒油麦菜(150.0克)65大卡,标准(100克)44大卡"
chizhizhengjiyu,薄荷,豉汁蒸鲫鱼,家常菜 ,http://s2.boohee.cn/food/star/chizhizhengjiyu-4485c3de41a922b4abbeda0635fe183c.png,http://s2.boohee.cn/house/upload_food/2016/9/18/big_photo_url_ff513eb1f9814d4996b998012649203a.jpg,http://s2.boohee.cn/house/upload_food/2016/9/18/mid_photo_url_68c9c0455a454ab2b209b02836791e48.jpg,157,6.94,8.11,14.65,0.54,,,,,,,,,,,,,,,,,,,
hongshaoqiezifan,用户上传,红烧茄子饭,家常菜 ,http://s2.boohee.cn/food/star/hongshaoqiezifan-4766988d134224268628ee674f72197c.png,http://s2.boohee.cn/house/upload_food/2016/8/30/big_photo_url_cea7d6469a0f43209876411b6e1641db.jpg,http://s2.boohee.cn/house/upload_food/2016/8/30/mid_photo_url_011065190dda4c55a2528785670f109b.jpg,177,13.93,11.06,5.69,0.44,,,,,,,,,,,,,,,,,,,
sixiwanzi2,薄荷,四喜丸子(不含猪肥膘),家常菜 ,http://s2.boohee.cn/food/star/sixiwanzi2-841b9142d079cc23866e74a2e94adc69.png,http://s2.boohee.cn/house/upload_food/2016/10/26/big_photo_url_26a067bce7214eec9bc46d18e4a07220.jpg,http://s2.boohee.cn/house/upload_food/2016/10/26/mid_photo_url_746ae8269ac443fea2935345d50aea2d.jpg,135,3.60,7.20,14.36,0.45,,,,,,,,,,,,,,,,,,,
haidairoupaitang,薄荷,海带瘦肉汤,家常菜 ,http://s2.boohee.cn/food/star/haidairoupaitang-a93fefa4db8e77d3591fa9bec876fcf2.png,http://s2.boohee.cn/house/upload_food/2020/7/8/b_big_photo_url_410771006d356209161644a42bf5941a.jpg,http://s2.boohee.cn/house/upload_food/2020/7/8/m_big_photo_url_410771006d356209161644a42bf5941a.jpg,16,1.27,0.47,1.88,0.34,,,,,,,,,,,,,,,,,,,"1碗海带瘦肉汤(500.0毫升)82大卡,标准(100毫升)16大卡"
banlishaoji,用户上传,板栗烧鸡(清淡),家常菜 ,http://s2.boohee.cn/food/star/banlishaoji-eb59bfb7c66132e399cab2daa03003f4.png,http://s2.boohee.cn/house/upload_food/2009/9/17/341949_1253175862.jpg,http://s2.boohee.cn/house/upload_food/2009/9/17/341949_1253175862mid.jpg,108,12.97,4.02,7.78,2.78,,,,,,,,,,,,,,,,,,,
suanshaonianyu,薄荷,蒜烧鲶鱼,家常菜 ,http://s2.boohee.cn/food/star/suanshaonianyu-6a862c32faf5d636287789020a1b2e62.png,http://s2.boohee.cn/house/food_big/big_photo20128201416352831.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_20128201416352831.jpg,154,3.54,9.10,14.55,0.12,,,,,,,,,,,,,,,,,,,
niurouguotie,用户上传,牛肉锅贴,家常菜 ,http://s2.boohee.cn/food/star/niurouguotie-40fa2429030df131977bf444e88b4c50.png,http://s2.boohee.cn/house/upload_food/2009/8/16/352025_1250389098.jpg,http://s2.boohee.cn/house/upload_food/2009/8/16/352025_1250389098mid.jpg,185,19.11,7.15,11.60,0.54,,,,,,,,,,,,,,,,,,,
malajirou,薄荷,麻辣鸡肉,家常菜 ,http://s2.boohee.cn/food/star/malajirou-215bb6e34c11ec41459e5041cf0aae50.png,http://s2.boohee.cn/house/menu_big/1176776614734.jpg,http://s2.boohee.cn/house/menu_mid/1176776614734_mid.jpg,182,6.45,12.14,13.15,1.31,,,,,,,,,,,,,,,,,,,
guashuanghuashengren,薄荷,挂霜花生仁,家常菜 ,http://s2.boohee.cn/food/star/guashuanghuashengren-28014eaf8158c15b46c2cae5ff8d0615.png,http://s2.boohee.cn/house/upload_food/2016/9/27/big_photo_url_fd47de9cac184f99bffd8671171913ca.jpg,http://s2.boohee.cn/house/upload_food/2016/9/27/mid_photo_url_7b3db204fc244f2394e3f8e9e87f6494.jpg,503,47.28,29.15,16.41,3.63,,,,,,,,,,,,,,,,,,,
yuxiangyaohua,薄荷,鱼香腰花,家常菜 ,http://s2.boohee.cn/food/star/yuxiangyaohua-70c05e7c0442ae0defe7f39671f0511c.png,http://s2.boohee.cn/house/upload_food/2016/10/28/big_photo_url_0589434b97df4cf6b546c757b89e52a7.jpg,http://s2.boohee.cn/house/upload_food/2016/10/28/mid_photo_url_f9c8d0289a92469a96d99316aab3a343.jpg,88,5.89,3.54,7.80,0.74,,,,,,,,,,,,,,,,,,,
cuipiyu,薄荷,脆皮鱼,家常菜 ,http://s2.boohee.cn/food/star/cuipiyu-e5ab1dbdd17dc95d89aa9406656506c9.png,http://s2.boohee.cn/house/upload_food/2008/9/26/user_86837_1222391717.jpg,http://s2.boohee.cn/house/upload_food/2008/9/26/user_86837_1222391717.jpg,171,8.91,11.78,7.65,0.37,,,,,,,,,,,,,,,,,,,
cupaohuangdou,用户上传,醋泡黄豆,家常菜 ,http://s2.boohee.cn/food/star/cupaohuangdou-c5b45cbf85a1ff6b111ad8a2d9c5a451.png,http://s2.boohee.cn/house/upload_food/2016/8/29/big_photo_url_7ba82ec96731416fb2e99225a6d68891.jpg,http://s2.boohee.cn/house/upload_food/2016/8/29/mid_photo_url_198d5032446e424b96e2404d9aa84af4.jpg,390,18.70,16.00,35.00,15.50,,,,,,,,,,,,,,,,,,,
liangbanfoshougua,薄荷,凉拌佛手瓜,家常菜 ,http://s2.boohee.cn/food/star/liangbanfoshougua-c2cd4d834d87b22972553f955832a2db.png,http://s2.boohee.cn/house/food_big/big_photo201282014482811547.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_201282014482811547.jpg,35,8.15,0.11,1.47,1.18,,,,,,,,,,,,,,,,,,,
malaxiaomian,用户上传,麻辣小面,家常菜 ,http://s2.boohee.cn/food/star/malaxiaomian-00213faa4d07a86957e5ac1c6358ed6d.png,http://s2.boohee.cn/house/food_big/big_photo201281516233219275.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_201281516233219275.jpg,132,13.76,7.15,2.72,0.55,,,,,,,,,,,,,,,,,,,"1碗麻辣小面(500.0克)658大卡,标准(100克)132大卡"
shaosurouyuan,薄荷,烧素肉圆,家常菜 ,http://s2.boohee.cn/food/star/shaosurouyuan-db5a7dd35a2a0e9ce1dc1ca59b9b38c7.png,http://s2.boohee.cn/house/upload_food/2016/10/25/big_photo_url_dc570aef02d8452ab0a73cff663ae096.jpg,http://s2.boohee.cn/house/upload_food/2016/10/25/mid_photo_url_65802fee8253417abc3aeaa95bf7c6e4.jpg,159,7.12,12.33,5.68,0.79,,,,,,,,,,,,,,,,,,,
jiangshaoyakuai,薄荷,酱烧鸭块,家常菜 ,http://s2.boohee.cn/food/star/jiangshaoyakuai-fff118c34aa58bd40f1e65ac49555563.png,http://s2.boohee.cn/house/upload_food/2016/10/12/big_photo_url_67c228fc378a4fcfa1c1b4617c76d971.jpg,http://s2.boohee.cn/house/upload_food/2016/10/12/mid_photo_url_7f8c12c04d604d0aad3dc47d93b11e2d.jpg,224,7.82,17.07,11.06,1.65,,,,,,,,,,,,,,,,,,,
culiutudousi2,薄荷,辣味醋熘土豆丝,家常菜 ,http://s2.boohee.cn/food/star/culiutudousi2-8736764d2652c495cd19bd2bd634ba9f.png,http://s2.boohee.cn/house/menu_big/1165740779875.jpg,http://s2.boohee.cn/house/menu_mid/1165740779875_mid.jpg,113,16.24,4.75,2.01,0.85,,,,,,,,,,,,,,,,,,,
jiachangzhengdahuangyu,用户上传,家常蒸大黄鱼,家常菜 ,http://s2.boohee.cn/food/star/jiachangzhengdahuangyu-d0d78e2bf64ab0cf02880cee800e464e.png,http://s2.boohee.cn/house/upload_food/2016/8/31/big_photo_url_5220bef1580d401786a774c83a42714c.jpg,http://s2.boohee.cn/house/upload_food/2016/8/31/mid_photo_url_06786032493047fa94560b007b762f50.jpg,90,2.42,1.70,12.30,0.14,,,,,,,,,,,,,,,,,,,
youmenxiancandou,薄荷,油焖鲜蚕豆,家常菜 ,http://s2.boohee.cn/food/star/youmenxiancandou-498197c8a7462d3ab3a655abb16927af.png,http://s2.boohee.cn/house/upload_food/2019/8/29/big_photo_url_a5e70769fae90bb9e75a7ba23e538d7c.jpg,http://s2.boohee.cn/house/upload_food/2019/8/29/mid_photo_url_8cd4841fb112bae6dbc96cc434f8c80a.jpg,171,17.67,8.83,7.86,2.66,,,,,,,,,,,,,,,,,,,
doujiaomenmian,薄荷,豆角焖面,家常菜 ,http://s2.boohee.cn/food/star/doujiaomenmian-dd53ff79bbe2da16df22ec64d54c9558.png,http://s2.boohee.cn/house/upload_food/2020/6/29/big_photo_url_big_photo_url_afe0c1c15aa0902db2b894b9ff6782d1.jpg,http://s2.boohee.cn/house/upload_food/2020/6/29/mid_photo_url_big_photo_url_afe0c1c15aa0902db2b894b9ff6782d1.jpg,115,15.40,4.45,3.52,0.58,,,,,,,,,,,,,,,,,,,
shijinsuhui,薄荷,什锦素烩,家常菜 ,http://s2.boohee.cn/food/star/shijinsuhui-133486504338ed365e52b89c6ff8b89a.png,http://s2.boohee.cn/house/upload_food/2013/6/10/user_1677290_1370856819.jpg,http://s2.boohee.cn/house/upload_food/2013/6/10/user_mid_1677290_1370856819.jpg,102,7.75,7.20,2.74,1.16,,,,,,,,,,,,,,,,,,,
yangcongyecaihongluobotudoutang,用户上传,洋葱椰菜红萝卜土豆汤,家常菜 ,http://s2.boohee.cn/food/star/yangcongyecaihongluobotudoutang-a625d2592540e3601f21500f0369c231.png,http://s2.boohee.cn/house/upload_food/2008/9/4/130323_1220498847.jpg,http://s2.boohee.cn/house/upload_food/2008/9/4/130323_1220498847mid.jpg,38,4.94,1.52,0.99,0.57,,,,,,,,,,,,,,,,,,,
chaosigua,用户上传,清炒丝瓜,家常菜 ,http://s2.boohee.cn/food/star/chaosigua-b6c4811c07b834ce2ea34df9faef8ec0.png,http://s2.boohee.cn/house/upload_food/2020/6/23/big_photo_url_big_photo_url_f826a0b6caf492cea876894fd0e7b5d4.jpg,http://s2.boohee.cn/house/upload_food/2020/6/23/mid_photo_url_big_photo_url_f826a0b6caf492cea876894fd0e7b5d4.jpg,47,4.00,3.26,1.26,0.11,,,,,,,,,,,,,,,,,,,"1盘清炒丝瓜(250.0克)119大卡,标准(100克)47大卡"
jianjiaohuizhuer,薄荷,尖椒烩猪耳,家常菜 ,http://s2.boohee.cn/food/star/jianjiaohuizhuer-909a4eea31d7a3b51d95f0cd6579006a.png,http://s2.boohee.cn/house/upload_food/2016/10/11/big_photo_url_6a09cf44c8c74730a81ce94f9bab0381.jpg,http://s2.boohee.cn/house/upload_food/2016/10/11/mid_photo_url_bba9b8f80c4a47f2ba366673a482e9e6.jpg,194,3.17,14.04,15.79,1.99,,,,,,,,,,,,,,,,,,,
congyouhaidai,薄荷,葱油海带,家常菜 ,http://s2.boohee.cn/food/star/congyouhaidai-e86abc6c2a699736d06ca65c6629d8e5.png,http://s2.boohee.cn/house/upload_food/2016/9/19/big_photo_url_ff08fdb917514ae7b04d6486240761f4.jpg,http://s2.boohee.cn/house/upload_food/2016/9/19/mid_photo_url_e5fe610fe9c945628eb916578388637f.jpg,67,4.25,5.39,1.15,0.86,,,,,,,,,,,,,,,,,,,
huotuidonggua,薄荷,火腿冬瓜,家常菜 ,http://s2.boohee.cn/food/star/huotuidonggua-c44c01b5a0fc59e6f0c9e86cc7c22582.png,http://s2.boohee.cn/house/menu_big/1166494729347.jpg,http://s2.boohee.cn/house/menu_mid/1166494729347_mid.jpg,54,3.97,3.40,2.41,0.63,,,,,,,,,,,,,,,,,,,
shuangxinlusunyuzhusun,薄荷,双心芦笋玉竹荪,家常菜 ,http://s2.boohee.cn/food/star/shuangxinlusunyuzhusun-71f76818ec6e2da3660a85ff8f1d7558.png,http://s2.boohee.cn/house/upload_food/2016/10/25/big_photo_url_55aedea90bc44852aed4e80f4a5f4b8e.jpg,http://s2.boohee.cn/house/upload_food/2016/10/25/mid_photo_url_0193fd4117ef4333bd45907147ad6799.jpg,129,12.94,1.27,7.43,18.62,,,,,,,,,,,,,,,,,,,
jiangzhiwakuaiyu,薄荷,酱汁瓦块鱼,家常菜 ,http://s2.boohee.cn/food/star/jiangzhiwakuaiyu-ceb8eba0adfdbf435657178d6eaba39f.png,http://s2.boohee.cn/house/upload_food/2016/10/12/big_photo_url_870129093ed54910b4fdca0f83010bc6.jpg,http://s2.boohee.cn/house/upload_food/2016/10/12/mid_photo_url_5466d0a2b56844d6bde5eced3b90d2cf.jpg,224,2.26,18.03,13.39,0.24,,,,,,,,,,,,,,,,,,,
chaoqiezi,用户上传,炒茄子,家常菜 ,http://s2.boohee.cn/food/star/chaoqiezi-4c5cc09fc64bddaf41b78ae141c89ff9.png,http://s2.boohee.cn/house/upload_food/2020/6/23/big_photo_url_big_photo_url_c42d57ff1614c58ded6e8c14cd8760a8.jpg,http://s2.boohee.cn/house/upload_food/2020/6/23/mid_photo_url_big_photo_url_c42d57ff1614c58ded6e8c14cd8760a8.jpg,87,8.08,5.32,2.70,2.09,,,,,,,,,,,,,,,,,,,"1盘炒茄子(300.0克)262大卡,标准(100克)87大卡"
oujiashanchagao,薄荷,藕夹山楂糕,家常菜 ,http://s2.boohee.cn/food/star/oujiashanchagao-5d0a5a3560d9193dbc744b23c8251eb5.png,http://s2.boohee.cn/house/food_big/big_photo201281713371814784.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_201281713371814784.jpg,112,27.22,0.23,1.30,0.98,,,,,,,,,,,,,,,,,,,
yuancongchaodan,用户上传,洋葱炒蛋,家常菜 ,http://s2.boohee.cn/food/star/yuancongchaodan-477947782230b4e23c8be804104d549b.png,http://s2.boohee.cn/house/upload_food/2020/6/15/big_photo_url_big_photo_url_834527bb34cf755e404218e5d40874a3.jpg,http://s2.boohee.cn/house/upload_food/2020/6/15/mid_photo_url_big_photo_url_834527bb34cf755e404218e5d40874a3.jpg,117,5.67,7.52,6.91,0.43,,,,,,,,,,,,,,,,,,,"1盘洋葱炒蛋(400.0克)468大卡,标准(100克)117大卡"
dongguapaigutanghishaofaer,用户上传,冬瓜排骨汤,家常菜 ,http://s2.boohee.cn/food/star/dongguapaigutanghishaofaer-3104a74c5d926ba9a8509ee3e644f5ab.png,http://s2.boohee.cn/house/upload_food/2020/6/18/big_photo_url_big_photo_url_e2d803c68d724d27f414172f21f2d559.jpg,http://s2.boohee.cn/house/upload_food/2020/6/18/mid_photo_url_big_photo_url_e2d803c68d724d27f414172f21f2d559.jpg,51,1.29,3.90,2.97,0.35,,,,,,,,,,,,,,,,,,,"1碗(小)冬瓜排骨汤(250.0毫升)127大卡,标准(100毫升)51大卡"
tangcuyu,薄荷,糖醋鱼,家常菜 ,http://s2.boohee.cn/food/star/tangcuyu-57401c27e26d900be582bcfbbab3d81c.png,http://s2.boohee.cn/house/upload_food/2008/7/31/user_113696_1217500118.jpg,http://s2.boohee.cn/house/upload_food/2008/7/31/user_mid_113696_1217500118.jpg,113,3.01,5.52,12.55,0.14,,,,,,,,,,,,,,,,,,,"1块糖醋鱼(20.0克)23大卡,标准(100克)113大卡"
mapodoufu,薄荷,麻婆豆腐,家常菜 ,http://s2.boohee.cn/food/star/mapodoufu-f54d3aa6ffb3042675b458924abbf1ef.png,http://s2.boohee.cn/house/upload_food/2020/6/18/big_photo_url_big_photo_url_f384a64185de236f185747eff1fc858b.jpg,http://s2.boohee.cn/house/upload_food/2020/6/18/mid_photo_url_big_photo_url_f384a64185de236f185747eff1fc858b.jpg,126,5.37,8.90,6.35,0.53,,,,,,,,,,,,,,,,,,,"1盘麻婆豆腐(350.0克)442大卡,1小份麻婆豆腐(250.0克)315大卡,1份麻婆豆腐(300.0克)379大卡,标准(100克)126大卡"
huangguachaodan,用户上传,黄瓜炒蛋,家常菜 ,http://s2.boohee.cn/food/star/huangguachaodan-15064cea83444de464aac5f2cb9321ae.png,http://s2.boohee.cn/house/upload_food/2020/6/18/big_photo_url_big_photo_url_6addc05c44fe7138534f9f5fdf1749a9.jpg,http://s2.boohee.cn/house/upload_food/2020/6/18/mid_photo_url_big_photo_url_6addc05c44fe7138534f9f5fdf1749a9.jpg,52,2.82,3.17,3.03,0.40,,,,,,,,,,,,,,,,,,,"1盘黄瓜炒蛋(250.0克)129大卡,标准(100克)52大卡"
liulirou,用户上传,琉璃肉,家常菜 ,http://s2.boohee.cn/food/star/liulirou-add6c8f71cb6131823b04fa9cd04a4b4.png,http://s2.boohee.cn/house/upload_food/2014/5/23/452803_1400832291.jpg,http://s2.boohee.cn/house/upload_food/2014/5/23/452803_1400832291mid.jpg,445,24.38,35.57,7.61,0.00,,,,,,,,,,,,,,,,,,,
jiachangkaoyangtui,薄荷,家常烤羊腿,家常菜 ,http://s2.boohee.cn/food/star/jiachangkaoyangtui-f2d23dadf75e4ad9296c9c01af594a8a.png,http://s2.boohee.cn/house/upload_food/2016/10/11/big_photo_url_7894ba59f1004e6d80307a5bd4452c3c.jpg,http://s2.boohee.cn/house/upload_food/2016/10/11/mid_photo_url_2fbc7dd5563f45f1b44ffa904210577f.jpg,104,1.68,4.05,14.65,0.62,,,,,,,,,,,,,,,,,,,
suchaoqiezi,薄荷,素炒茄子,家常菜 ,http://s2.boohee.cn/food/star/suchaoqiezi-7a48273bd5db4af7bc29ff2cd0edbf5c.png,http://s2.boohee.cn/house/upload_food/2020/6/23/big_photo_url_big_photo_url_c42d57ff1614c58ded6e8c14cd8760a8.jpg,http://s2.boohee.cn/house/upload_food/2020/6/23/mid_photo_url_big_photo_url_c42d57ff1614c58ded6e8c14cd8760a8.jpg,64,7.07,3.85,1.49,2.14,,,,,,,,,,,,,,,,,,,
jiangdoushaorou,薄荷,豇豆烧肉,家常菜 ,http://s2.boohee.cn/food/star/jiangdoushaorou-44879f81adaf6296612aad28dc9edba9.png,http://s2.boohee.cn/house/upload_food/2016/10/12/big_photo_url_d4f3a530a94f416abe58424bb0bff342.jpg,http://s2.boohee.cn/house/upload_food/2016/10/12/mid_photo_url_9638fd9715cc4f70809fcc0f3722ed3e.jpg,392,3.06,39.58,6.59,0.75,,,,,,,,,,,,,,,,,,,
jiaoyoucaixin,薄荷,椒油菜心,家常菜 ,http://s2.boohee.cn/food/star/jiaoyoucaixin-732f41dbb88e21478f04d67eb8b164dc.png,http://s2.boohee.cn/house/upload_food/2016/10/13/big_photo_url_0dd2cd7886b647d08a537d374bf996b9.jpg,http://s2.boohee.cn/house/upload_food/2016/10/13/mid_photo_url_87e14ce2fed2438ebbe1124336401af1.jpg,70,5.66,4.36,2.93,1.83,,,,,,,,,,,,,,,,,,,
baocuanyukuai,薄荷,爆汆鱼块,家常菜 ,http://s2.boohee.cn/food/star/baocuanyukuai-33f336a7fefe48652152ed994d39a494.png,,,99,1.29,5.57,11.20,0.15,,,,,,,,,,,,,,,,,,,
ganbianyundou,薄荷,干煸芸豆,家常菜 ,http://s2.boohee.cn/food/star/ganbianyundou-a064d8cd4ecd5c5b095b5c84468a53e7.png,http://s2.boohee.cn/house/food_big/big_photo201282014274315349.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_201282014274315349.jpg,74,7.32,3.46,4.30,1.88,,,,,,,,,,,,,,,,,,,
nanguachizhizhengpaigu,薄荷,南瓜豉汁蒸排骨,家常菜 ,http://s2.boohee.cn/food/star/nanguachizhizhengpaigu-cdee6cebc56bdfa86e9d91ca96bb5985.png,http://s2.boohee.cn/house/upload_food/2008/8/16/user_122442_1218879406.jpg,http://s2.boohee.cn/house/upload_food/2008/8/16/user_mid_122442_1218879406.jpg,74,5.20,4.41,4.16,0.77,,,,,,,,,,,,,,,,,,,
xihongshigedatang,用户上传,西红柿疙瘩汤,家常菜 ,http://s2.boohee.cn/food/star/xihongshigedatang-3af0962d2951bd7db9874205beabcd12.png,http://s2.boohee.cn/house/upload_food/2020/7/2/b_big_photo_url_1adb8d83ec348c229b5989624514bb88.jpg,http://s2.boohee.cn/house/upload_food/2020/7/2/m_big_photo_url_1adb8d83ec348c229b5989624514bb88.jpg,88,15.05,1.34,3.76,0.60,,,,,,,,,,,,,,,,,,,"1碗西红柿疙瘩汤(300.0克)265大卡,标准(100克)88大卡"
guotajipian,薄荷,锅塌鸡片,家常菜 ,http://s2.boohee.cn/food/star/guotajipian-d9650e7278aac1106e1bbea87a384ccf.png,http://s2.boohee.cn/house/upload_food/2016/9/28/big_photo_url_5a5cd50d187f4eb49e1f75a45d625573.jpg,http://s2.boohee.cn/house/upload_food/2016/9/28/mid_photo_url_ea8ab90dce034c509b00b10248cf3872.jpg,137,6.12,6.74,12.98,0.00,,,,,,,,,,,,,,,,,,,
laohuangguapaigutang,用户上传,老黄瓜排骨汤,家常菜 ,http://s2.boohee.cn/food/star/laohuangguapaigutang-8712e9f17f7ad0315d48e6c3fbe11946.png,http://s2.boohee.cn/house/food_big/big_photo20115181523116967.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_20115181523116967.jpg,51,0.43,4.10,3.05,0.10,,,,,,,,,,,,,,,,,,,
tudouyundoudunrou,用户上传,土豆芸豆炖肉,家常菜 ,http://s2.boohee.cn/food/star/tudouyundoudunrou-b39495800344da17424c7d955f58c4b4.png,http://s2.boohee.cn/house/upload_food/2008/9/1/user_127285_1220245948.jpg,http://s2.boohee.cn/house/upload_food/2008/9/1/user_mid_127285_1220245948.jpg,58,5.51,2.95,1.98,0.88,,,,,,,,,,,,,,,,,,,"1碗土豆芸豆炖肉(300.0克)174大卡,标准(100克)58大卡"
baicaidoufubao,薄荷,白菜豆腐煲,家常菜 ,http://s2.boohee.cn/food/star/baicaidoufubao-5dc514cb6a39466f4b3dd87de4bee345.png,http://s2.boohee.cn/house/menu_big/1162046223203.jpg,http://s2.boohee.cn/house/menu_mid/1162046223203_mid.jpg,56,2.23,4.38,1.66,0.32,,,,,,,,,,,,,,,,,,,
jinshajiweixia,薄荷,金沙基围虾,家常菜 ,http://s2.boohee.cn/food/star/jinshajiweixia-6fe4df622398687bd5993873f265fc28.png,http://s2.boohee.cn/house/menu_big/1165732271062.jpg,http://s2.boohee.cn/house/menu_mid/1165732271062_mid.jpg,157,6.54,7.64,16.02,0.59,,,,,,,,,,,,,,,,,,,
xingbaoguroupian,用户上传,杏鲍菇肉片,家常菜 ,http://s2.boohee.cn/food/star/xingbaoguroupian-ff02dd2ab12276f7c53aee6c89dbb113.png,http://s2.boohee.cn/house/upload_food/2019/8/27/big_photo_url_e83e11162cd24ecc1c3f5a99bc506784.jpg,http://s2.boohee.cn/house/upload_food/2019/8/27/mid_photo_url_783f75f1cee669896d1cea48222646d4.jpg,98,7.49,5.09,6.48,1.41,,,,,,,,,,,,,,,,,,,
suanmiaochaorou,用户上传,蒜苗炒肉,家常菜 ,http://s2.boohee.cn/food/star/suanmiaochaorou-15baf47702446b0a63c44e4331af4ab7.png,http://s2.boohee.cn/house/upload_food/2020/6/18/big_photo_url_big_photo_url_34f9fa707705b1d8a99cc86495fb169f.jpg,http://s2.boohee.cn/house/upload_food/2020/6/18/mid_photo_url_big_photo_url_34f9fa707705b1d8a99cc86495fb169f.jpg,116,4.55,6.35,10.73,0.86,,,,,,,,,,,,,,,,,,,
mizhiniurou,薄荷,蜜汁牛肉,家常菜 ,http://s2.boohee.cn/food/star/mizhiniurou-4d823aa88b63eed75b0af79b6476ab6a.png,http://s2.boohee.cn/house/upload_food/2016/10/20/big_photo_url_818a1c9b912d406c9029af18dd6bb3d7.jpg,http://s2.boohee.cn/house/upload_food/2016/10/20/mid_photo_url_12ff686ad95d4f1ea2607725cac24758.jpg,127,7.96,4.81,12.14,1.03,,,,,,,,,,,,,,,,,,,
xianggutudoudunrou,薄荷,香菇土豆炖肉,家常菜 ,http://s2.boohee.cn/food/star/xianggutudoudunrou-9dc44ca3e473ec544d59d0f32de934a4.png,http://s2.boohee.cn/house/upload_food/2019/8/26/big_photo_url_38175784f054a5b38a12677900e57191.jpg,http://s2.boohee.cn/house/upload_food/2019/8/26/mid_photo_url_ed47762e0882b579d71ea9f3dbd53d49.jpg,336,5.65,32.24,6.44,1.33,,,,,,,,,,,,,,,,,,,
tudoudunpaigu,用户上传,土豆炖排骨,家常菜 ,http://s2.boohee.cn/food/star/tudoudunpaigu-a26f48e243d1cd8cf3ba7def21b54ce9.png,http://s2.boohee.cn/house/upload_food/2016/9/2/big_photo_url_b0174542fb6e43f9b4a05bd815733072.jpg,http://s2.boohee.cn/house/upload_food/2016/9/2/mid_photo_url_568613fdc11b4d44851cb79105a71b25.jpg,157,6.78,11.27,7.71,1.37,,,,,,,,,,,,,,,,,,,"1碗土豆炖排骨(300.0克)470大卡,标准(100克)157大卡"
baicaitang,用户上传,白菜汤,家常菜 ,http://s2.boohee.cn/food/star/baicaitang-7f1ce868cba246b3dcc82faecc2f5dfb.png,http://s2.boohee.cn/house/upload_food/2016/8/29/big_photo_url_64a31708ff2244ada0bb12f31e87d480.jpg,http://s2.boohee.cn/house/upload_food/2016/8/29/mid_photo_url_a7739a751382460c884f112d63bd31a7.jpg,14,1.13,0.74,0.85,0.29,,,,,,,,,,,,,,,,,,,"1大碗白菜汤(500.0毫升)70大卡,标准(100毫升)14大卡"
chaojiangdou,用户上传,炒豇豆,家常菜 ,http://s2.boohee.cn/food/star/chaojiangdou-219d459c7ff8bb62d5e865f036b64281.png,http://s2.boohee.cn/house/upload_food/2020/6/11/big_photo_url_175dc47e4d98b31be09a771557896fa0.jpg,http://s2.boohee.cn/house/upload_food/2020/6/11/mid_photo_url_d2673a5b8b8dcaabf698862269632de8.jpg,41,3.70,1.19,2.79,2.16,,,,,,,,,,,,,,,,,,,"1盘炒豇豆(200.0克)81大卡,标准(100克)41大卡"
shengcaibakoutiao,薄荷,生菜扒口条,家常菜 ,http://s2.boohee.cn/food/star/shengcaibakoutiao-c2f6df93714677c5325545359d3903d5.png,http://s2.boohee.cn/house/upload_food/2016/10/25/big_photo_url_2dfc1060544649eba74fecc6ebb65cc9.jpg,http://s2.boohee.cn/house/upload_food/2016/10/25/mid_photo_url_c12cc7da86d54094a39fb8b3cfda3297.jpg,198,2.14,15.92,11.62,0.15,,,,,,,,,,,,,,,,,,,
