id,来源,名称,分类,红绿灯地址,大图片地址,小图片地址,热量,碳水化合物,脂肪,蛋白质,纤维素,维生素A,维生素C,维生素E,胡萝卜素,硫胺素,核黄素,烟酸,胆固醇,镁,钙,铁,锌,铜,锰,钾,磷,钠,硒,度量单位
yingerpeifangnaifen_liduojing1_quechao,薄荷,婴儿配方奶粉(力多精1，雀巢),奶类及制品,http://s2.boohee.cn/food/star/yingerpeifangnaifen_liduojing1_quechao-a3b2b9a6910b55dfc1a481f0bd2880e4.png,http://s2.boohee.cn/house/upload_food/2018/12/10/big_photo_url_45f72e804a635bd7f04c1cedaef5a0c6.jpg,http://s2.boohee.cn/house/upload_food/2018/12/10/mid_photo_url_8dbd3a2e551884c3a58dded5c3710d3d.jpg,502,58.90,25.50,10.30,1.80,,,,,,,,,,,,,,,,,,,
zaocannai,薄荷,早餐奶,奶类及制品,http://s2.boohee.cn/food/star/zaocannai-e95d710567bfad28770c7ed82a28c9d5.png,http://s2.boohee.cn/house/new_food/big/0240f42f13ec46e590531f405f2dcf59.jpg,http://s2.boohee.cn/house/new_food/mid/0240f42f13ec46e590531f405f2dcf59.jpg,68,7.70,3.10,2.30,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
quechaoquanzhitiannaifen_xinba,用户上传,雀巢 全脂甜奶粉(新包装),奶类及制品,http://s2.boohee.cn/food/star/quechaoquanzhitiannaifen_xinba-cac66239a2b148dc0531c9cbeffd43a8.png,http://s2.boohee.cn/house/upload_food/2011/3/26/839524_1301070648.jpg,http://s2.boohee.cn/house/upload_food/2011/3/26/839524_1301070648mid.jpg,475,51.80,21.00,19.60,0.00,,,,,,,,,,,,,,,,,,,
anjiaquanzhiniunai,用户上传,安佳 全脂牛奶,奶类及制品,http://s2.boohee.cn/food/star/anjiaquanzhiniunai-0c4c30a13372f10aa2d0a65f42fba1d5.png,http://s2.boohee.cn/house/upload_food/2011/8/23/1032433_1314097888.jpg,http://s2.boohee.cn/house/upload_food/2011/8/23/1032433_1314097888mid.jpg,62,4.70,3.30,3.40,0.00,,,,,,,,,,,,,,,,,,,
YogenhiFruz,用户上传,Fruz 低脂香草冰淇淋,奶类及制品,http://s2.boohee.cn/food/star/YogenhiFruz-182e8d441fb59f2417922410b9d8cfe9.png,http://s2.boohee.cn/house/upload_food/2010/3/28/285896_1269706798.jpg,http://s2.boohee.cn/house/upload_food/2010/3/28/285896_1269706798mid.jpg,96,16.80,2.00,3.20,0.00,,,,,,,,,,,,,,,,,,,
weiquanyoulaoru_yuanwei,用户上传,味全 优酪乳(原味),奶类及制品,http://s2.boohee.cn/food/star/weiquanyoulaoru_yuanwei-d5619d3c83430bfd8ae6dcd31dd4c11a.png,http://s2.boohee.cn/house/upload_food/2009/6/27/300678_1246089705.jpg,http://s2.boohee.cn/house/upload_food/2009/6/27/300678_1246089705mid.jpg,88,13.00,2.60,3.00,0.50,,,,,,,,,,,,,,,,,,,
zimupaiquanzhiniunai_qiaokeliw,用户上传,子母 全脂牛奶(巧克力味),奶类及制品,http://s2.boohee.cn/food/star/zimupaiquanzhiniunai_qiaokeliw-d121b39f370f1fbb11f4806b12a69b60.png,http://s2.boohee.cn/house/upload_food/2010/11/4/665949_1288833330.jpg,http://s2.boohee.cn/house/upload_food/2010/11/4/665949_1288833330mid.jpg,74,11.00,2.10,2.80,0.00,,,,,,,,,,,,,,,,,,,
FreshNfruitydizhishuiguosuannai_xingkouwei,用户上传,FreshNfruity低脂水果酸奶(杏口味),奶类及制品,http://s2.boohee.cn/food/star/FreshNfruitydizhishuiguosuannai_xingkouwei-5f2ac8aa4f7dda340f4a5ba93ebb6365.png,http://s2.boohee.cn/house/upload_food/2009/8/15/296739_1250303155.jpg,http://s2.boohee.cn/house/upload_food/2009/8/15/296739_1250303155mid.jpg,48,7.47,0.07,3.93,0.00,,,,,,,,,,,,,,,,,,,
fd460d85,用户上传,光明 优倍 0脂肪 高品质脱脂鲜牛奶,奶类及制品,http://s2.boohee.cn/food/star/fd460d85-f42b390b0cebcc2a8154c3028cdb9a8a.png,http://s2.boohee.cn/house/upload_food/2019/1/2/big_photo_url_6f81872d5aec441a99176775a89e50cb.jpg,http://s2.boohee.cn/house/upload_food/2019/1/2/mid_photo_url_834a1d5382ec1826626e0e59b434a4c7.jpg,35,6.20,0.00,3.40,一,,,,,,,,,,,,,,,,,,,
Salitertuozhinaifen,用户上传,Saliter脱脂奶粉,奶类及制品,http://s2.boohee.cn/food/star/Salitertuozhinaifen-456e4cd5271d9f280c4d3644e0c9eaf0.png,http://s2.boohee.cn/house/upload_food/2010/4/29/466802_1272480003.jpg,http://s2.boohee.cn/house/upload_food/2010/4/29/466802_1272480003mid.jpg,361,52.00,1.00,36.00,一,,,,,,,,,,,,,,,,,,,
sanyuannailaozhishipianzhongzh,用户上传,三元奶酪芝士片中脂,奶类及制品,http://s2.boohee.cn/food/star/sanyuannailaozhishipianzhongzh-cbf3c7cad490b1cba2e0a18e6d3ec3da.png,http://s2.boohee.cn/house/upload_food/2011/10/4/1047071_1317691115.jpg,http://s2.boohee.cn/house/upload_food/2011/10/4/1047071_1317691115mid.jpg,257,4.40,17.60,20.60,0.00,,,,,,,,,,,,,,,,,,,
yinqiaobailibaochunniunai,用户上传,银桥 纯牛奶(百利包),奶类及制品,http://s2.boohee.cn/food/star/yinqiaobailibaochunniunai-3db5cdb45fb1041c5babd812ff1c6f7f.png,http://s2.boohee.cn/house/upload_food/2011/9/19/384335_1316415464.jpg,http://s2.boohee.cn/house/upload_food/2011/9/19/384335_1316415464mid.jpg,59,4.80,3.10,2.90,0.00,,,,,,,,,,,,,,,,,,,
homebrandniunai,用户上传,Homebrand 牛奶,奶类及制品,http://s2.boohee.cn/food/star/homebrandniunai-62f8cb05498f9965d93341cdf02e8ed8.png,http://s2.boohee.cn/house/upload_food/2010/3/7/471616_1267957755.jpg,http://s2.boohee.cn/house/upload_food/2010/3/7/471616_1267957755mid.jpg,63,4.90,3.40,3.20,一,,,,,,,,,,,,,,,,,,,
quanzhitianlianru_quechao,薄荷,雀巢 全脂甜炼乳( ),奶类及制品,http://s2.boohee.cn/food/star/quanzhitianlianru_quechao-fe9d6db7943b6e424bb3d116f0c91675.png,http://s2.boohee.cn/house/new_food/big/f70e6875752e4ce79ded50cb67863831.jpg,http://s2.boohee.cn/house/new_food/mid/f70e6875752e4ce79ded50cb67863831.jpg,380,64.90,10.00,7.50,0.00,,,,,,,,,,,,,,,,,,,
kafufeichengqingdannailao,用户上传,卡夫 费城清淡奶酪,奶类及制品,http://s2.boohee.cn/food/star/kafufeichengqingdannailao-297dcd77919b3dd8e074e5ba913b9b6d.png,http://s2.boohee.cn/house/upload_food/2009/1/21/192215_1232510506.jpg,http://s2.boohee.cn/house/upload_food/2009/1/21/192215_1232510506mid.jpg,175,4.10,13.90,8.00,一,,,,,,,,,,,,,,,,,,,
guangmingchunniunaixiangnong35,用户上传,光明 纯牛奶香浓3.5,奶类及制品,http://s2.boohee.cn/food/star/guangmingchunniunaixiangnong35-ccdb094e6c5900127c19bec6d563008c.png,http://s2.boohee.cn/house/upload_food/2009/8/12/218458_1250071800.jpg,http://s2.boohee.cn/house/upload_food/2009/8/12/218458_1250071800mid.jpg,62,4.80,3.60,3.10,一,,,,,,,,,,,,,,,,,,,
guangming1haogaogainai,用户上传,光明 1号高钙奶 220ml,奶类及制品,http://s2.boohee.cn/food/star/guangming1haogaogainai-75fa0e761e41ef433ccf558d3cf7cf92.png,http://s2.boohee.cn/house/upload_food/2010/4/5/205428_1270463837.jpg,http://s2.boohee.cn/house/upload_food/2010/4/5/205428_1270463837mid.jpg,63,4.80,3.50,3.00,一,,,,,,,,,,,,,,,,,,,
nainiumenggongchangjuanpanwang,用户上传,奶牛梦工场 奶牛梦工厂娟姗王鲜牛奶,奶类及制品,http://s2.boohee.cn/food/star/nainiumenggongchangjuanpanwang-0365193a808da31e7490f496d8829e4d.png,http://s2.boohee.cn/house/upload_food/2012/4/14/877970_1334393081.jpg,http://s2.boohee.cn/house/upload_food/2012/4/14/877970_1334393081mid.jpg,64,4.60,3.50,3.50,0.00,,,,,,,,,,,,,,,,,,,
nailao_qishipai,薄荷,骑士 奶酪(牌),奶类及制品,http://s2.boohee.cn/food/star/nailao_qishipai-fb6a9b0288c6abe2c87a14586ac518b5.png,http://s2.boohee.cn/house/upload_food/2020/6/4/big_photo_url_1f5262e8fa17cc5851640ab08d79a5ce.jpg,http://s2.boohee.cn/house/upload_food/2020/6/4/mid_photo_url_850d6c5c31490f4d34637ae09b994a7f.jpg,386,16.30,25.40,23.00,0.00,,,,,,,,,,,,,,,,,,,
meizanchen_anyingmamanaifen,用户上传,美赞臣 安婴妈妈奶粉,奶类及制品,http://s2.boohee.cn/food/star/meizanchen_anyingmamanaifen-b0e8e6478cf5ceb78ae43ac5474418dd.png,http://s2.boohee.cn/house/upload_food/2010/3/19/479229_1268999927.jpg,http://s2.boohee.cn/house/upload_food/2010/3/19/479229_1268999927mid.jpg,377,58.00,4.30,24.00,一,,,,,,,,,,,,,,,,,,,
